Full Name,Address,Phone,Email,Username,Password,Interview Date,Qualification
Sneha Molya,Tohana (Haryana),1234567898,sneha@max.com,sneha,sneha,05-03-2024,Masters
Piyush Saini,Hisar (Haryana),4567345677,sainipiyush@gmail.com,piyush,pppp,11-05-2024,PhD
Nisha Verma,Sector-18 Sukhrali -Gurgaon,6545675688,nisha@abc.com,nisha,nisha,11-05-2024,Masters
Laksh Dua,xyz--sect56,2435676567,laksh@srh.com,laksh,lax,10-05-2024,Masters
abcd,fghj,5546784657,yjk@ppp.lll,qa,qa,05-06-2024,Masters
Animesh Sinha,mohali-phase-11,9876987660,animesh@cail.com,animesh,sinha@11,03-06-2024,Masters
paras kumar,bhiwani-huda-sector,4565876577,paras@oracle.in,paras,paras11,05-06-2024,Masters
Neha Yadav,Hisar-sector 14,3456617788,neha@prth.in,neha,prth,03-07-2024,Bachelors
Nisha Baweja,Uklana Mandi(Hisar),7854667656,nisha@gmail.com,nish,bnm,05-07-2024,Bachelors
Renu Khera,Lane - 5- huda city,9854546767,renu@gmail.com,renu,renu,04-07-2024,Bachelors
Ritesh Kumar,Hansi-near Market,6789345689,ritesh@hmt.com,ritesh,zxcv,03-07-2024,Bachelors
